UserID,SessionID,Timestamp,Type,Utility,Hit,Result,Description
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:26:28,consent,,,,Player have read and agreed to the informed consent.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:26:58,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:27:13,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:27:40,interaction,used,/root/Node2D/Map/Locations/briefing/briefing,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:27:43,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:27:52,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:28:17,interaction,Gas Mask,/root/Node2D/Player,failure,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:28:22,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:28:28,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:28:35,interaction,Scene Tool,/root/Node2D/Player,success,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:28:58,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:29:17,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:29:25,interaction,used,/root/Node2D/Map/Locations/briefing/briefing,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:29:28,plan,,,failure,The player plan failed because Accomplished nothing.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:29:33,interaction,Scene Tool,/root/Node2D/Player,success,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:29:47,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:29:52,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:29:56,interaction,used,/root/Node2D/Map/ObstacleGas/gas,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:30:02,interaction,Gas Mask,/root/Node2D/Player,failure,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:30:05,interaction,Gas Mask,/root/Node2D/Locations/gas/Gascloud/Gas Cloud,failure,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:30:22,interaction,,/root/Node2D/Player,failure,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:30:22,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:30:30,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:30:39,interaction,used,/root/Node2D/Map/Locations/goal/goal,failure,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:30:43,interaction,used,/root/Node2D/Map/utility,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:30:46,interaction,Scuba Gear,/root/Node2D/Player,failure,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:31:01,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:31:09,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:31:15,interaction,Scene Tool,/root/Node2D/Player,success,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:31:24,interaction,Paper Mask,/root/Node2D/Player,failure,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:31:31,interaction,Player Scene,/root/Node2D/Player,failure,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:31:39,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:31:46,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:31:52,interaction,used,/root/Node2D/Map/Locations/briefing/briefing,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:31:55,interaction,used,/root/Node2D/Map/utility,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:32:15,interaction,used,/root/Node2D/Map/ObstacleGas/gas,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:32:16,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:32:23,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:32:25,interaction,Scene Tool,/root/Node2D/Locations/gas/Gascloud/Gas Cloud,success,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:32:40,interaction,Scene Tool,/root/Node2D/Player,success,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:32:43,plan,,,failure,The player plan failed because Accomplished nothing.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:32:53,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:33:02,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:33:07,interaction,used,/root/Node2D/Map/ObstacleGas/gas,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:33:19,interaction,Player Scene,/root/Node2D/Player,failure,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:33:32,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:33:36,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:34:06,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:34:12,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:34:22,interaction,used,/root/Node2D/Map/ObstacleGas/gas,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:34:26,interaction,used,/root/Node2D/Map/utility,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:34:36,interaction,Paper Mask,/root/Node2D/Player,failure,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:34:42,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:34:47,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:35:09,plan,,,failure,The player plan failed because Player died.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:35:17,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:35:34,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:35:58,interaction,Scene Tool,/root/Node2D/Player,success,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:36:04,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:36:11,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:36:41,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:36:44,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:37:14,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:37:19,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:37:36,interaction,Scene Tool,/root/Node2D/Player,success,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:37:49,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:37:54,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:38:24,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:38:29,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:38:59,interaction,used,/root/Node2D/Map/utility,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:38:59,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:39:04,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:39:06,interaction,used,/root/Node2D/Map/utility,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:39:08,interaction,used,/root/Node2D/Map/ObstacleGas/gas,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:39:11,interaction,examined,/root/Node2D/Locations/gas/Gascloud/Gas intake,,Player examined something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:39:15,interaction,Scene Tool,/root/Node2D/Locations/gas/Gascloud/Gas Cloud,success,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:39:16,interaction,examined,/root/Node2D/Locations/gas/Gascloud/Gas Cloud,,Player examined something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:39:34,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:39:39,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:39:49,plan,,,failure,The player plan failed because Accomplished nothing.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:40:06,interaction,used,/root/Node2D/Map/utility,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:40:09,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:40:15,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:40:41,plan,,,failure,The player plan failed because Accomplished nothing.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:40:45,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:40:53,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:41:09,interaction,used,/root/Node2D/Map/ObstacleGas/gas,success,Player used something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:41:12,interaction,examined,/root/Node2D/Locations/gas/Gascloud/Gas Cloud,,Player examined something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:41:15,interaction,examined,/root/Node2D/Locations/gas/Gascloud/Gas Cloud,,Player examined something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:41:17,interaction,Scene Tool,/root/Node2D/Locations/gas/Gascloud/Gas Cloud,success,Player dragged something and dropped it on something
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:41:23,survey,,,,Survey popped up.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:41:30,survey,,,,Survey submitted by user.
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:41:56,plan,,,success,The players plan succeed
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:41:56,archivement,,,,you managed to open the doors to the gas room without suffocating
ba9403c7-231d-4c66-a77e-c0c58f237017,5121a3e1-70ec-4bb7-b382-28d03ca28998,2024-12-09 12:42:00,survey,,,,Survey popped up.
